Entity;Attribute;Type;Size;Front;Constraint;Descripiton;
;;;;;;;
User;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;name;string;255;name;;;
;firstname;string;255;firstname;;;
;password;string;255;password;;;
;email;string;255;email;NOT NULL UNIQUE;it's our user identifier;
;createAt;DateTime;;create_at;;;
;updateAt;DateTime;;update_at;;;
;roles;array;;roles;"DEFAULT ""ROLE_USER""";;
;apiToken;string;255;api_token;;;
;;;;;;;
TypeStructureOrganisationnelle;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
StructureOrganisationnelle;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;codeStructureOrganisationnelle;string;255;codeStructureOrganisationnelle;;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;typeStructureOrganisationnelle_id;integer;;typeStructureOrganisationnelle_id;;;
;structureOrganisationnelleParent_id;integer;;structureOrganisationnelleParent_id;;;
;;;;;;;
EspaceTravail;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
Risque;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;;;;;;;
Action;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;description;Text;2000;description;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;startDate;DateTime;;startDate;;;
;endDate;DateTime;;endDate;;;
;status;Boolean;;status;;;
;progression;Unknown;;progression;;;
;orietationStrategique_id;Integer;;orietationStrategique_id;;;
;;;;;;;
Tache;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;chargeInitiale;Unknown;;chargeInitiale;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;programme_id;integer;;programme_id;;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;action_id;integer;;action_id;;;
;;;;;;;
SchemaDirecteur;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;vision;Text;2000;vision;;;
;description;Text;2000;description;;;
;dateDebut;DateTime;;dateDebut;;;
;dateFin;DateTime;;dateFin;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
OrientationStrategique;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;description;Text;2000;description;;;
;orientationStrategiqueParent_id;integer;;orientationStrategiqueParent_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;espaceTravail_id;integer;;espaceTravail_id;;;
;schemaDirecteur_id;integer;;schemaDirecteur_id;;;
;budget_id;integer;;budget_id;;;
;structureOrganisationnelle_id;integer;;structureOrganisationnelle_id;;;
;;;;;;;
Programme;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
FacteurCleSuccess;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
AxeStrategique;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;;;;;;;
Budget;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;totalAmount;integer;;totalAmount;;;
;totalDays;integer;;totalDays;;;
;initialBudget;Decimal;;initialBudget;;;
;status;Boolean ou Enum;;status;;;
;active;Boolean;;active;;;
;axeStrategique_id;integer;;axeStrategique_id;;;
;;;;;;;
Objectif;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;indicateur_id;integer;;indicateur_id;;;
;;;;;;;
Indicateur;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;qualitatif;Unknown;;qualitatif;;;
;;;;;;;
OS_FCS;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;facteurCleSuccess_id;integer;;facteurCleSuccess_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
OS_Programme;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;orientationStrategique_id;integer;;orientationStrategique_id;;;
;programme_id;integer;;programme_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
Project;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;name;string;255;name;;;
;slug;string;255;slug;;;
;image;Varchar;;image;;;
;product;string;255;product;;;
;description;Text;;description;;;
;budget;integer;;budget;;;
;initialBudget;integer;;initialBudget;;;
;startDate;DateTime;;startDate;;;
;endDate;DateTime;;endDate;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;status;Unknown;;status;;;
;totalProgression;Unknown;;totalProgression;;;
;programme_id;integer;;programme_id;;;
;;;;;;;
Programme_CP;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;programme_id;integer;;programme_id;;;
;categorieProgramme_id;integer;;categorieProgramme_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
CategorieProgramme;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;nom;string;255;nom;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
AS_Action;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;axeStrategique_id;integer;;axeStrategique_id;;;
;action_id;integer;;action_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
AS_SO;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;axeStrategique_id;integer;;axeStrategique_id;;;
;structureOrganisationnelle_id;integer;;structureOrganisationnelle_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;
;;;;;;;
AS_Objectif;;;;;;;
;id;integer;;id;PRIMARY KEY;;
;axeStrategique_id;integer;;axeStrategique_id;;;
;objectif_id;integer;;objectif_id;;;
;createdAt;DateTime;;createdAt;;;
;updatedAt;DateTime;;updatedAt;;;


